**INFO_BEGIN**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,WT310,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number,C2QG19067V,,,,,,,,,,,,,,,,,,,,,,,,,,
Version,F1.04,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,2016,1,15,11,14,35,,,,,,,,,,,,,,,,,,,,,
Voltage Range,150,V,,,,,,,,,,,,,,,,,,,,,,,,,
Current Range,0.5,A,,,,,,,,,,,,,,,,,,,,,,,,,
Crest Factor,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Rate,0.25,S,,,,,,,,,,,,,,,,,,,,,,,,,
Standard,IEC62301 Ed.2(Auto),,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle Time,300,,,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm,LR,CA,SP1,SP2,SAE,,,,,,,,,,,,,,,,,,,,,,
Stop Factor,LR Stable,,,,,,,,,,,,,,,,,,,,,,,,,,
Valid Period,300,900,,,,,,,,,,,,,,,,,,,,,,,,,
**INFO_END**,,,,,,,,,,,,,,,,,,,,,,,,,,,
**DATA_BEGIN**,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Test Voltage(V),Test Frequency(Hz),THD,Crest Factor U,Crest Factor I,Power(W),Accumulated Energy(Wh),Real Power Factor,Apparent Power(VA),TrendCount,LR-MeasurePower,LR-Threshold,CA-AverageMaximum,CA-AverageMinimum,CA-ThresholdMaximum,CA-ThresholdMinimum,SP1-MeasurePower,SP1-Threshold,SP2-MeasurePower,SP2-Threshold,SAE-MeasurePower,SAE-Threshold,Time (hr),Slope (W/hr),,,
18.75,119.82,59.965,0.215,1.418,6.098,1.324,0.007715,0.1951,6.787,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.005208338,,,,
19,119.81,59.987,0.097,1.418,6.003,1.347,0.007808,0.1989,6.772,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.005277782,,,,
19.25,119.81,59.969,0.211,1.418,6.141,1.248,0.007895,0.1906,6.55,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.005347227,,,,
19.5,119.8,59.968,0.109,1.419,5.952,1.307,0.007986,0.1956,6.682,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.005416671,,,,
19.75,119.81,59.966,0.113,1.419,5.959,1.348,0.00808,0.2003,6.731,1,130.813187,0.013129,2.256,1.346926,1.34962,1.344232,82.048355,0.013129,82.048355,0.013129,76.546814,0.013476,0.005486116,,,,
20,119.81,59.969,0.185,1.418,6.113,1.348,0.008174,0.199,6.775,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.00555556,,,,
20.25,119.82,59.965,0.087,1.419,5.991,1.213,0.008259,0.1898,6.392,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.005625005,,,,
20.5,119.82,59.976,0.236,1.419,6.051,1.308,0.00835,0.196,6.676,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.005694449,,,,
20.75,119.81,59.969,0.089,1.419,5.83,1.343,0.008443,0.1973,6.809,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.005763894,,,,
21,119.81,59.977,0.153,1.418,6.127,1.342,0.008537,0.1982,6.772,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.005833338,,,,
21.25,119.8,59.967,0.131,1.419,5.895,1.249,0.008624,0.1905,6.553,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.005902783,,,,
21.5,119.81,59.973,0.111,1.419,5.981,1.297,0.008713,0.1952,6.646,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.005972227,,,,
21.75,119.81,59.967,0.209,1.419,6.269,1.343,0.008807,0.2007,6.691,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006041672,,,,
22,119.82,59.966,0.09,1.419,6.061,1.337,0.0089,0.1978,6.758,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006111116,,,,
22.25,119.81,59.966,0.244,1.419,6.345,1.285,0.00899,0.1948,6.598,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006180561,,,,
22.5,119.8,59.976,0.089,1.419,6.153,1.28,0.009079,0.1934,6.615,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006250005,,,,
22.75,119.81,59.966,0.111,1.419,6.388,1.318,0.00917,0.1957,6.735,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.00631945,,,,
23,119.81,59.973,0.173,1.418,6.261,1.336,0.009263,0.1982,6.74,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006388894,,,,
23.25,119.81,59.966,0.103,1.419,6.263,1.324,0.009355,0.195,6.793,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006458339,,,,
23.5,119.82,59.966,0.195,1.418,6.261,1.298,0.009445,0.195,6.658,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006527783,,,,
23.75,119.8,59.966,0.099,1.419,6.117,1.31,0.009535,0.1961,6.68,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006597228,,,,
24,119.8,59.966,0.219,1.419,6.116,1.332,0.009627,0.1978,6.736,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006666672,,,,
24.25,119.8,59.982,0.082,1.419,6.126,1.365,0.009722,0.2027,6.736,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006736117,,,,
24.5,119.81,59.966,0.083,1.419,6.025,1.256,0.009809,0.1924,6.528,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006805561,,,,
24.75,119.81,59.972,0.167,1.419,6.031,1.314,0.009901,0.1964,6.689,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.006875006,,,,
25,119.81,59.966,0.064,1.419,5.995,1.331,0.009992,0.1977,6.735,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.00694445,,,,
25.25,119.82,59.966,0.178,1.419,6.066,1.377,0.010087,0.1991,6.915,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.007013895,,,,
25.5,119.81,59.982,0.078,1.42,6.079,1.222,0.010173,0.1892,6.461,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.007083339,,,,
25.75,119.8,59.976,0.089,1.419,6.353,1.318,0.010265,0.1973,6.681,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.007152784,,,,
26,119.8,59.973,0.058,1.419,6.284,1.329,0.010358,0.1979,6.715,2,5.704014,0.013023,1.337,1.299568,1.305829,1.300616,9.527404,0.013023,9.527404,0.013023,9.187555,0.013026,0.007222228,,,,
